Program Name,Org,Type,Description,Grades,Where,Format,Cost,Pay,Schedule,Time Needed,Apply By,Starts,Ends,Link,Website,Contact Email,Transportation,Last Checked,Notes
Trail Crew Workdays,Triangle Land Conservancy,Volunteering,Help maintain hiking trails and remove invasive plants at TLC nature preserves across the Triangle.,ages 15+,Triangle-wide,In person,Free,Unpaid,Weekend,"One Saturday/month, 3 hrs",rolling,,,https://www.triangleland.org/get-involved/volunteer,https://www.triangleland.org,volunteer@triangleland.org,Carpools organized from Durham,6/14/2026,
Morehead Science Ambassadors,Morehead Planetarium and Science Center,Volunteering,High school students lead hands-on science demos for planetarium visitors and represent Morehead at community events.,Grades 10-12,Chapel Hill,In person,Free,Unpaid,weekend,6 hrs/month plus monthly training,"Aug 30, 2026",2026-09-15,2027-05-30,https://moreheadplanetarium.org/ambassadors,https://moreheadplanetarium.org,,Chapel Hill Transit is fare-free,7/8/2026,
Summer Ventures in Science and Mathematics,NCSSM,Summer Program,Free four-week residential summer research program in science and math for rising juniors and seniors who are NC residents.,rising juniors and seniors,Durham,In person,Free,Unpaid,Summer,4 weeks residential,3/1/2026,2026-06-21,2026-07-18,https://www.ncssm.edu/summer-ventures,https://www.ncssm.edu,,Residential program,2/15/2026,deadline already passed?
Engineering Summer Programs,NC State College of Engineering,summer camp,"Week-long engineering day camps exploring robotics, aerospace, biomedical and more at NC State's Centennial Campus.",grades 9-12,Raleigh,in person,$425/week,unpaid,summer,"1 week, 9am-4pm",2027-03-15,2027-06-14,2027-08-06,https://www.engr.ncsu.edu/theengineeringplace/summerprograms/,https://www.engr.ncsu.edu,engineeringplace@ncsu.edu,,6/30/2026,
Duke Pre-College Summer Academy,Duke University,Summer Program,"Two-week academic summer courses for high school students on Duke's campus, from neuroscience to creative writing. Financial aid available.",grades 10-12,Durham,Hybrid,"$2,800 (aid available)",Unpaid,Summer,2 weeks,2027-04-15,,,https://precollege.duke.edu,https://precollege.duke.edu,precollege@duke.edu,,5/20/2026,
UNC Health Junior Volunteers,UNC Health,Volunteering,"Summer junior volunteer program at UNC Hospitals: support patient transport, wayfinding, and clerical teams while exploring healthcare careers.",ages 16-18,Chapel Hill,In person,Free,Unpaid,Summer,40 hrs over the summer,2027-03-31,2027-06-15,2027-08-15,https://www.uncmedicalcenter.org/volunteer,https://www.uncmedicalcenter.org,,On Chapel Hill Transit routes,6/18/2026,
Duke Hospital Junior Volunteer Program,Duke University Hospital,volunteering,"School-year junior volunteer program for teens interested in medicine; placements in gift shop, guest services, and patient support.",ages 15-18,Durham,In person,Free,Unpaid,after school,"3 hrs/week, one semester","September 1, 2026",2026-09-28,2026-12-18,https://www.dukehealth.org/volunteer,https://www.dukehealth.org,,,7/10/2026,
WakeMed VolunTeen Program,WakeMed Health,Volunteer Opportunity,VolunTeens assist hospital staff with non-clinical tasks and learn about careers in healthcare at WakeMed campuses in Raleigh and Cary.,ages 14-18,Raleigh,in-person,Free,unpaid,weekend,4 hrs/week,8/20/2026,2026-09-12,2027-05-15,https://www.wakemed.org/volunteer,https://www.wakemed.org,volunteer@wakemed.org,Raleigh and Cary campuses,7/3/2026,
Teen Library Volunteers,Wake County Public Libraries,Community Service,"Shelve books, help with children's programs, and support summer reading logging at your local Wake County library branch.",grades 6-12,Raleigh,in person,free,unpaid,flexible,2-4 hrs/week,rolling,,,https://www.wake.gov/libraries/volunteer,https://www.wake.gov,,Branches across Wake County,6/22/2026,
Teen Advisory Board,Durham County Library,Volunteering,"Advise librarians on teen programming, plan events, and earn service hours. Meets monthly at the Main Library.",grades 9-12,Durham,In person,Free,Unpaid,after school,2 hrs/month,9/15/2026,2026-10-01,2027-06-01,https://durhamcountylibrary.org/teens,https://durhamcountylibrary.org,teens@dconc.gov,"Downtown Durham, GoDurham routes",7/6/2026,
Library Teen Volunteers,Chapel Hill Public Library,Volunteering,"Help run children's storytime, organize collections, and support library events.",ages 13-18,Chapel Hill,In person,Free,Unpaid,Flexible,2 hrs/week,rolling,,,https://chapelhillpubliclibrary.org/volunteer,https://chapelhillpubliclibrary.org,,Free Chapel Hill Transit,11/20/2025,needs a fresh check
FIRST Robotics Competition Teams,FIRST North Carolina,Competition,"Join a local FIRST Robotics team to design, build, and program a competition robot with adult mentors. Teams across the Triangle.",grades 9-12,Triangle,hybrid,Free (team fees vary),Unpaid,after school,10+ hrs/week Jan-Apr,10/15/2026,2027-01-04,2027-04-30,https://www.firstnorthcarolina.org/teams,https://www.firstnorthcarolina.org,info@firstnorthcarolina.org,,6/5/2026,
Science Olympiad,North Carolina Science Olympiad,Competition,Compete in team science events from anatomy to engineering. Ask your school about its team or help start one.,9-12,Triangle-wide,In person,$30 team fee share,Unpaid,after school,3 hrs/week,"November 1, 2026",2027-01-15,2027-04-25,https://www.sciencenc.com,https://www.sciencenc.com,,,6/12/2026,
Congressional App Challenge,U.S. House of Representatives - NC districts,Competition,"Build an app and submit it to your district's Congressional App Challenge. Winners are honored in Washington, DC.",high school,Remote,online,Free,Unpaid,flexible,self-paced,2026-10-22,,,https://www.congressionalappchallenge.us,https://www.congressionalappchallenge.us,,,7/1/2026,
GSK Opportunity Scholarship,Triangle Community Foundation,Scholarship,"Scholarship for Wake, Durham, and Orange county seniors who have overcome significant adversity, for study at a NC college.",grade 12,Triangle-wide,in person,Free,"$5,000/yr award",flexible,application plus essays,2027-01-15,,,https://trianglecf.org/grants-scholarships/scholarships/,https://trianglecf.org,scholarships@trianglecf.org,,6/8/2026,
Teen Arts Council,North Carolina Museum of Art,Enrichment,"Plan teen nights, work with artists, and shape museum programming for young people at NCMA.",grades 10-12,Raleigh,In person,Free,Stipend provided,after school,5 hrs/month,"Sept 20, 2026",2026-10-05,2027-05-20,https://ncartmuseum.org/teens,https://ncartmuseum.org,,On Raleigh greenway and bus routes,7/9/2026,
Youth Conservatory,PlayMakers Repertory Company,summer camp,"Six-week summer theater intensive for high school actors culminating in a full production at UNC's professional theater.",rising 9-12,Chapel Hill,In person,"$1,900 (scholarships available)",Unpaid,Summer,"6 weeks, weekdays",2027-03-01,2027-06-22,2027-07-31,https://playmakersrep.org/education/summer-youth-conservatory/,https://playmakersrep.org,,,5/28/2026,
Creative Arts Classes for Teens,Durham Arts Council,Workshop,"Affordable after-school visual arts, pottery, and photography classes at the Durham Arts Council building. Scholarships available.",ages 13-18,Durham,in person,$85-$180 per class,Unpaid,after school,6-8 week sessions,rolling,,,https://durhamarts.org/classes,https://durhamarts.org,info@durhamarts.org,Downtown Durham,6/26/2026,
Volunteer Ushers,Carolina Theatre of Durham,Volunteering,Usher for films and live shows at the historic Carolina Theatre. See performances free after your shift.,ages 16+,Durham,In person,Free,Unpaid,flexible,per-event shifts,ongoing,,,https://carolinatheatre.org/volunteer,https://carolinatheatre.org,N/A,,6/2/2026,
Juntos 4-H Youth Program,El Centro Hispano,Mentorship,"Bilingual program supporting Latino students toward high school graduation and college, with tutoring, family engagement, and summer camps.",grades 8-12,Durham,Hybrid,Free,Unpaid,after school,2 hrs/week,rolling,,,https://elcentronc.org/juntos,https://elcentronc.org,juntos@elcentronc.org,Spanish/English bilingual staff,7/11/2026,
Student U College Prep,Student U,College Preparation,"Multi-year college access program for Durham students: summer academy, tutoring, and college application coaching.",grades 6-12,Durham,In person,Free,Unpaid,summer,Summer academy plus school-year support,2027-02-15,2027-06-15,2027-07-30,https://studentudurham.org/apply,https://studentudurham.org,,Bus transportation provided,6/16/2026,
Keystone Club,Boys and Girls Clubs of Durham and Orange Counties,Club,"Teen leadership and service club focused on academic success, career prep, and community service projects.",ages 14-18,Durham,in person,Free,Unpaid,after school,Weekly meetings,rolling,,,https://www.bgcdoc.org/teens,https://www.bgcdoc.org,,Club van pickup from partner schools,6/19/2026,
Youth Voice and Leadership Council,Communities In Schools of Durham,Mentorship,Students advise CIS Durham on programs and gain leadership experience through service projects and civic engagement.,grades 9-12,Durham,In person,Free,Unpaid,After School,3 hrs/month,9/30/2026,2026-10-15,2027-05-30,https://cisdurham.org/youth-voice,https://cisdurham.org,,,7/2/2026,
Summer Camp Aide (Seasonal),"City of Raleigh Parks, Recreation and Cultural Resources",Part-time Job,Paid seasonal positions helping run summer day camps at Raleigh community centers. Ages 16+.,ages 16-18,Raleigh,in person,Free,$13.50/hr,summer,30-40 hrs/week,2027-03-31,2027-06-07,2027-08-13,https://raleighnc.gov/jobs,https://raleighnc.gov,,,6/29/2026,
Cary Teen Council,Town of Cary,Club,"Service and social club for Cary teens: volunteer at town events, earn service hours, build leadership skills.",grades 6-12,Cary,In person,$15/year dues,Unpaid,flexible,Varies by event,rolling,,,https://www.carync.gov/recreation-enjoyment/teens,https://www.carync.gov,teencouncil@carync.gov,,7/7/2026,
Chapel Hill Youth Council,Town of Chapel Hill,Club,Advise the Town Council on issues affecting young people and plan community projects with town staff.,grades 9-12,Chapel Hill,in person,Free,Stipend,after school,4 hrs/month,8/31/2026,2026-09-20,2027-06-10,https://www.townofchapelhill.org/youth-council,https://www.townofchapelhill.org,,,6/24/2026,
Culinary Apprentice Volunteers,Inter-Faith Food Shuttle,Volunteering,Teens help prepare community meals in the Food Shuttle teaching kitchen and support mobile market distributions.,ages 15-18,Raleigh,In person,Free,Unpaid,weekend,4 hrs/shift,rolling,,,https://foodshuttle.org/volunteer,https://foodshuttle.org,volunteer@foodshuttle.org,,6/21/2026,
DIG Youth Crew (Paid Summer),SEEDS Community Garden,Internship,"Paid summer crew growing food at SEEDS' urban garden in Durham; learn sustainable agriculture and food justice.",ages 14-18,Durham,In person,Free,"stipend of $1,200",Summer,15 hrs/week for 8 weeks,2027-04-30,2027-06-21,2027-08-13,https://www.seedsnc.org/dig,https://www.seedsnc.org,dig@seedsnc.org,Near GoDurham route 5,6/17/2026,
DIG Youth Crew Summer 2027,SEEDS Community Garden,internship,"Summer youth employment in the SEEDS garden: grow and harvest produce, run the farm stand, learn food systems.",14-18,Durham,in person,free,stipend,summer,15 hrs/wk,"April 30, 2027",,,https://www.seedsnc.org/dig-apply,,,,,duplicate? check with SEEDS
Seasonal Game Day Staff,Durham Bulls Athletic Club,Part-time job,"Work concessions, guest services, or grounds crew during Bulls home games. Ages 16+, evening and weekend shifts.",ages 16+,Durham,In person,Free,$12/hr,flexible,Game-day shifts,rolling,,,https://www.milb.com/durham/ballpark/employment,https://www.milb.com/durham,,"Downtown Durham, near bus hub",6/11/2026,
4-H STEM Clubs,NC Cooperative Extension - Wake County 4-H,Club,"Hands-on STEM, agriculture, and leadership clubs for Wake County youth; county fair projects and competitions.",ages 5-18,Raleigh,in person,$10/year,Unpaid,after school,2 hrs/week,rolling,,,https://wake.ces.ncsu.edu/4h,https://wake.ces.ncsu.edu,,,6/9/2026,
Teen Docent Program,,Volunteering,Lead gallery tours and assist with weekend visitor programs at a downtown Raleigh art space.,grades 10-12,Raleigh,In person,Free,Unpaid,weekend,3 hrs/week,9/1/2026,,,,,,,,counselor didn't write down which museum
STEM in the Park,Research Triangle Foundation,,Annual free STEM festival in RTP with hands-on exhibits from Triangle companies. Teen volunteers help run activity booths.,6-12,Research Triangle Park,In person,Free,Unpaid,weekend,One Saturday in the fall,TBD,,,https://steminthepark.org,https://steminthepark.org,,,6/27/2026,what category is this?
Youth Homework Helpers,Refugee Community Partnership,Volunteering,,high school,Carrboro,in person,Free,Unpaid,after school,2 hrs/week,TBD,,,,https://www.refugeecommunitypartnership.org,,,?,need details from RCP
